exp,tissue,rep,file,s3,url,biosamples,strain,sexes,age,submitted,spikeins,depleted,genome_annotation,assembly,output_type,read_length,batch,lab,normalisation,system
ENCSR000BYS,liver,1,ENCFF995EIJ,https://encode-public.s3.amazonaws.com/2021/04/15/a6eeb3c5-8ee3-4413-99a3-d13e3510c478/ENCFF995EIJ.bigWig,https://www.encodeproject.org/files/ENCFF995EIJ/@@download/ENCFF995EIJ.bigWig,ENCBS278ENC;ENCBS279ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYS,liver,2,ENCFF322KOW,https://encode-public.s3.amazonaws.com/2021/04/15/bd017db8-6dd5-429a-bad8-3ef23fe360be/ENCFF322KOW.bigWig,https://www.encodeproject.org/files/ENCFF322KOW/@@download/ENCFF322KOW.bigWig,ENCBS278ENC;ENCBS279ENC,C57BL/6,mixed,2 months,2012-06-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BYT,lung,1,ENCFF070OKD,https://encode-public.s3.amazonaws.com/2021/04/15/7bc6c7bc-87c6-47f1-b99e-59337c676338/ENCFF070OKD.bigWig,https://www.encodeproject.org/files/ENCFF070OKD/@@download/ENCFF070OKD.bigWig,ENCBS291ENC;ENCBS292ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,respiratory
ENCSR000BYT,lung,2,ENCFF594SPI,https://encode-public.s3.amazonaws.com/2021/04/15/42e79289-8644-44c9-9519-22ada5f06b8f/ENCFF594SPI.bigWig,https://www.encodeproject.org/files/ENCFF594SPI/@@download/ENCFF594SPI.bigWig,ENCBS291ENC;ENCBS292ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,respiratory
ENCSR000BZB,mammary gland,1,ENCFF791XDM,https://encode-public.s3.amazonaws.com/2021/04/15/abf9445f-79c9-495e-8433-6c9d3af6c312/ENCFF791XDM.bigWig,https://www.encodeproject.org/files/ENCFF791XDM/@@download/ENCFF791XDM.bigWig,ENCBS293ENC;ENCBS294ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,reproductive
ENCSR000BZB,mammary gland,2,ENCFF171DFQ,https://encode-public.s3.amazonaws.com/2021/04/15/9d85f509-e27c-4efe-9e1f-083a1591587d/ENCFF171DFQ.bigWig,https://www.encodeproject.org/files/ENCFF171DFQ/@@download/ENCFF171DFQ.bigWig,ENCBS293ENC;ENCBS294ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,reproductive
ENCSR000BZC,ovary,1,ENCFF946YVP,https://encode-public.s3.amazonaws.com/2021/04/15/28441f18-5d64-4e1e-9ed4-551a78a77f65/ENCFF946YVP.bigWig,https://www.encodeproject.org/files/ENCFF946YVP/@@download/ENCFF946YVP.bigWig,ENCBS295ENC;ENCBS296ENC,C57BL/6,female,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,reproductive
ENCSR000BZC,ovary,2,ENCFF679TGN,https://encode-public.s3.amazonaws.com/2021/04/15/83fa01d7-5558-4361-b048-afb0b0cf706c/ENCFF679TGN.bigWig,https://www.encodeproject.org/files/ENCFF679TGN/@@download/ENCFF679TGN.bigWig,ENCBS295ENC;ENCBS296ENC,C57BL/6,female,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,reproductive
ENCSR000BZD,small intestine,1,ENCFF119WXY,https://encode-public.s3.amazonaws.com/2021/04/15/073b15fc-1ca5-406c-8865-2405a4658613/ENCFF119WXY.bigWig,https://www.encodeproject.org/files/ENCFF119WXY/@@download/ENCFF119WXY.bigWig,ENCBS297ENC;ENCBS298ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
ENCSR000BZD,small intestine,2,ENCFF476LIT,https://encode-public.s3.amazonaws.com/2021/04/15/2ba2951d-367a-4b4c-958e-154b57e1fe44/ENCFF476LIT.bigWig,https://www.encodeproject.org/files/ENCFF476LIT/@@download/ENCFF476LIT.bigWig,ENCBS297ENC;ENCBS298ENC,C57BL/6,mixed,2 months,2012-02-29,True,rRNA,M21,mm10,plus strand signal of unique reads,76,CSHL batch 1,"Thomas Gingeras, CSHL",ENCODE pipeline RPM (STAR --outWigNorm RPM); untouched,digestive
